pais;area_carrera;nombre_carrera;genero;fecha_registro;universidad_limpia;edad_num;semestre_num;pert_curriculo_alineado_num;pert_promocion_digital_num;pert_preparacion_trabajos_futuros_num;pert_integracion_ia_asignaturas_num;pert_fomento_adaptabilidad_num;conf_seguridad_empleo_num;conf_perfil_competitivo_num;conf_habilidades_blandas_ventaja_num;conf_conocimiento_ia_oportunidad_num;eval_docente_capacitado_ia_num;eval_universidad_fomenta_innovacion_num;eval_universidad_recursos_adecuados_num;eval_recomendacion_general_num;rol_profesor_facilitador_num;rol_profesor_habilidades_humanas_num;rol_profesor_reemplazo_ia_num;comp_analisis_datos_num;comp_ciberseguridad_num;comp_programacion_num;comp_manejo_ia_num;comp_pensamiento_critico_num;comp_comunicacion_digital_num;comp_adaptabilidad_num;comp_creatividad_num;comp_colaboracion_num;conf_habilidades_tecnicas_imp_num;conf_habilidades_blandas_imp_num;conf_experiencia_practica_imp_num;conf_networking_imp_num;conf_titulo_imp_num;COMPETENCIAS_IA_Promedio;PERTINENCIA_LABORAL_Promedio;CONFIANZA_LABORAL_Promedio;IMPORTANCIA_FACTORES_Promedio;EVALUACIÓN_DOCENTE_Promedio;ROL_PROFESORADO_Promedio
Colombia;Ciencias Sociales y Humanidades;Derecho;Masculino;2025-10-16T00:34:19;INSTITUCIÓN UNIVERSITARIA DE ENVIGADO (IUE);20;8;4;3;2;2;4;;;;;2;2;3;3;5;5;1;4.0;3.0;3.0;4.0;;4.0;;4.0;;4.0;5;5.0;4.0;4;3.6666666666666665;3.0;;4.4;2.5;3.6666666666666665
Colombia;Otro;Derecho;Femenino;2025-10-16T00:42:33;INSTITUCIÓN UNIVERSITARIA DE ENVIGADO (IUE);30;8;3;4;3;3;4;3.0;3.0;3.0;;4;4;4;3;4;3;2;2.0;1.0;1.0;2.0;2.0;2.0;2.0;3.0;2.0;5.0;5;5.0;5.0;5;1.8888888888888888;3.4;3.0;5.0;3.75;3.0
Colombia;Ciencias Sociales y Humanidades;DERECHO;Femenino;2025-10-16T00:54:12;INSTITUCIÓN UNIVERSITARIA DE ENVIGADO (IUE);22;10;4;5;3;3;5;;3.0;;3.0;5;5;5;5;5;3;1;3.0;3.0;2.0;2.0;4.0;4.0;4.0;4.0;4.0;3.0;4;3.0;2.0;4;3.3333333333333335;4.0;3.0;3.2;5.0;3.0
Colombia;Otro;Derecho;Femenino;2025-10-16T02:20:49;INSTITUCIÓN UNIVERSITARIA DE ENVIGADO (IUE);35;8;5;3;3;2;3;;;3.0;;2;3;3;3;5;4;1;2.0;2.0;1.0;4.0;3.0;2.0;3.0;2.0;2.0;2.0;3;3.0;3.0;3;2.3333333333333335;3.2;3.0;2.8;2.75;3.3333333333333335
Colombia;Ciencias Sociales y Humanidades;Derecho;Masculino;2025-10-16T02:42:16;INSTITUCIÓN UNIVERSITARIA DE ENVIGADO (IUE);48;8;2;2;2;2;2;;3.0;;;1;2;2;2;4;4;1;3.0;1.0;1.0;2.0;3.0;3.0;3.0;3.0;3.0;5.0;5;5.0;5.0;5;2.4444444444444446;2.0;3.0;5.0;1.75;3.0
Colombia;Otro;Derecho;Masculino;2025-10-16T04:36:53;INSTITUCIÓN UNIVERSITARIA DE ENVIGADO (IUE);44;10;4;4;2;4;4;;;;;4;4;4;4;4;4;2;3.0;2.0;3.0;3.0;4.0;3.0;4.0;4.0;4.0;5.0;5;5.0;5.0;5;3.3333333333333335;3.6;;5.0;4.0;3.3333333333333335
México;Otro;Lic. Marketing Digital;Femenino;2025-10-20T14:43:47;UNIVERSIDAD DE CIENCIAS Y ARTES DE CHIAPAS (UNICACH);18;8;4;4;1;5;5;;;;;4;4;5;5;5;5;4;4.0;4.0;3.0;2.0;4.0;4.0;4.0;;;4.0;4;4.0;4.0;5;3.5714285714285716;3.8;;4.2;4.5;4.666666666666667
México;Otro;Marketing Digital;Masculino;2025-10-20T15:08:25;UNIVERSIDAD DE CIENCIAS Y ARTES DE CHIAPAS (UNICACH);19;8;4;4;3;3;3;;3.0;;3.0;4;4;3;3;5;5;2;1.0;2.0;2.0;2.0;1.0;2.0;2.0;2.0;2.0;2.0;2;2.0;2.0;4;1.7777777777777777;3.4;3.0;2.4;3.5;4.0
México;Ciencias Sociales y Humanidades;Marketing Digital;Masculino;2025-10-20T15:09:35;UNIVERSIDAD DE CIENCIAS Y ARTES DE CHIAPAS (UNICACH);26;8;5;4;3;3;4;;3.0;;;3;3;3;4;4;3;2;4.0;3.0;2.0;3.0;3.0;3.0;4.0;3.0;3.0;3.0;3;3.0;4.0;3;3.111111111111111;3.8;3.0;3.2;3.25;3.0
México;Otro;Lic. Marketing Digital;Femenino;2025-10-20T15:09:51;UNIVERSIDAD DE CIENCIAS Y ARTES DE CHIAPAS (UNICACH);23;8;5;4;4;4;5;;3.0;;;5;5;5;5;4;4;3;4.0;3.0;2.0;3.0;3.0;3.0;4.0;4.0;3.0;4.0;4;3.0;3.0;3;3.2222222222222223;4.4;3.0;3.4;5.0;3.6666666666666665
México;Otro;Marketing digital;Femenino;2025-10-20T15:13:46;UNIVERSIDAD DE CIENCIAS Y ARTES DE CHIAPAS (UNICACH);26;8;4;4;3;4;4;;;;;4;4;4;4;4;4;4;4.0;3.0;3.0;3.0;4.0;4.0;4.0;4.0;4.0;5.0;5;4.0;5.0;5;3.6666666666666665;3.8;;4.8;4.0;4.0
México;Otro;Licenciatura de Marketing Digital;Femenino;2025-10-20T15:23:10;UNIVERSIDAD DE CIENCIAS Y ARTES DE CHIAPAS (UNICACH);20;8;5;5;3;4;4;;3.0;;;4;5;5;4;5;4;2;3.0;4.0;;4.0;4.0;4.0;;;4.0;5.0;4;4.0;4.0;3;3.8333333333333335;4.2;3.0;4.0;4.5;3.6666666666666665
México;Ciencias Sociales y Humanidades;Marketing digital;Femenino;2025-10-20T15:34:14;UNIVERSIDAD DE CIENCIAS Y ARTES DE CHIAPAS (UNICACH);22;8;3;4;2;3;3;;3.0;3.0;;4;4;4;4;4;4;4;3.0;3.0;3.0;3.0;2.0;3.0;3.0;3.0;3.0;3.0;3;3.0;3.0;3;2.888888888888889;3.0;3.0;3.0;4.0;4.0
Colombia;Ciencias Sociales y Humanidades;Derecho;Masculino;2025-10-20T15:41:02;INSTITUCIÓN UNIVERSITARIA DE ENVIGADO (IUE);28;8;3;3;3;2;3;3.0;3.0;;3.0;2;4;5;3;5;5;2;2.0;2.0;1.0;2.0;3.0;3.0;4.0;3.0;3.0;5.0;5;5.0;5.0;5;2.5555555555555554;2.8;3.0;5.0;3.5;4.0
México;Otro;Marketing digital;Masculino;2025-10-20T15:45:13;UNIVERSIDAD DE CIENCIAS Y ARTES DE CHIAPAS (UNICACH);31;8;5;5;3;5;5;;;;;5;5;5;5;5;2;2;3.0;1.0;1.0;3.0;1.0;2.0;2.0;2.0;1.0;3.0;3;2.0;;5;1.7777777777777777;4.6;;3.25;5.0;3.0
México;Otro;Licenciatura en Marketing Digital;Femenino;2025-10-20T15:48:45;Universidad De Ciencias Y Artes De Chiapas (Unicach);17;8;5;5;2;4;5;;;;3.0;5;5;5;5;5;5;3;2.0;1.0;2.0;2.0;2.0;3.0;3.0;3.0;2.0;5.0;5;5.0;5.0;5;2.2222222222222223;4.2;3.0;5.0;5.0;4.333333333333333
México;Ciencias Económicas y Administrativas;Marketing digital;Femenino;2025-10-20T15:49:47;UNIVERSIDAD DE CIENCIAS Y ARTES DE CHIAPAS (UNICACH);24;8;4;4;4;4;4;;;;;5;5;5;5;5;5;3;3.0;3.0;3.0;3.0;3.0;4.0;4.0;4.0;4.0;4.0;4;4.0;4.0;4;3.4444444444444446;4.0;;4.0;5.0;4.333333333333333
México;Ciencias Sociales y Humanidades;Lic. Marketing Digital;Femenino;2025-10-20T16:07:35;UNIVERSIDAD DE CIENCIAS Y ARTES DE CHIAPAS (UNICACH);23;8;5;4;3;3;4;3.0;;;;4;5;4;3;3;3;1;2.0;2.0;1.0;2.0;2.0;3.0;3.0;3.0;2.0;5.0;5;5.0;5.0;5;2.2222222222222223;3.8;3.0;5.0;4.0;2.3333333333333335
México;Artes y Diseño;Marketing digital;Masculino;2025-10-20T17:14:11;UNIVERSIDAD DE CIENCIAS Y ARTES DE CHIAPAS (UNICACH);21;8;4;4;4;4;4;;;;;4;3;4;5;5;3;4;3.0;2.0;3.0;4.0;4.0;4.0;4.0;4.0;;4.0;4;5.0;5.0;5;3.5;4.0;;4.6;4.0;4.0
México;Ciencias Económicas y Administrativas;Turismo Sustentable;Femenino;2025-10-20T17:14:37;UNIVERSIDAD DE CIENCIAS Y ARTES DE CHIAPAS (UNICACH);20;8;3;3;4;3;3;;;;;4;3;3;3;4;5;3;2.0;2.0;2.0;3.0;3.0;2.0;3.0;3.0;3.0;4.0;4;4.0;4.0;5;2.5555555555555554;3.2;;4.2;3.25;4.0
México;Otro;Turismo sustentable;Masculino;2025-10-20T17:20:49;UNIVERSIDAD DE CIENCIAS Y ARTES DE CHIAPAS (UNICACH);22;8;3;3;3;3;3;;;;3.0;4;4;4;4;4;4;4;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;4.0;4;4.0;4.0;4;3.0;3.0;3.0;4.0;4.0;4.0
México;Otro;Turismo Sustentable;Femenino;2025-10-20T17:21:26;UNIVERSIDAD DE CIENCIAS Y ARTES DE CHIAPAS (UNICACH);19;8;2;2;3;4;4;;;;;3;4;2;4;4;4;3;3.0;1.0;2.0;2.0;3.0;2.0;2.0;3.0;3.0;4.0;4;4.0;4.0;4;2.3333333333333335;3.0;;4.0;3.25;3.6666666666666665
México;Ciencias Económicas y Administrativas;Turismo sustentable;Femenino;2025-10-20T17:23:07;UNIVERSIDAD DE CIENCIAS Y ARTES DE CHIAPAS (UNICACH);21;8;3;3;4;3;4;;;;;3;3;3;3;3;3;3;1.0;1.0;2.0;2.0;2.0;2.0;1.0;2.0;2.0;4.0;4;4.0;3.0;4;1.6666666666666667;3.4;;3.8;3.0;3.0
México;Ciencias Económicas y Administrativas;Licenciatura turismo sustentable;Femenino;2025-10-20T17:38:36;UNIVERSIDAD DE CIENCIAS Y ARTES DE CHIAPAS (UNICACH);20;8;3;4;3;1;3;3.0;3.0;3.0;;3;4;3;3;3;3;2;2.0;2.0;2.0;2.0;2.0;2.0;3.0;2.0;2.0;3.0;3;3.0;3.0;3;2.111111111111111;2.8;3.0;3.0;3.25;2.6666666666666665
México;Ciencias Económicas y Administrativas;Turismo sustentable;Masculino;2025-10-20T17:43:09;UNIVERSIDAD DE CIENCIAS Y ARTES DE CHIAPAS (UNICACH);20;8;4;2;3;2;3;3.0;3.0;;3.0;2;2;3;3;2;4;2;2.0;2.0;1.0;2.0;2.0;1.0;2.0;2.0;2.0;2.0;2;2.0;3.0;2;1.7777777777777777;2.8;3.0;2.2;2.5;2.6666666666666665
México;Otro;Turismo Sustentable;Masculino;2025-10-20T17:43:59;UNIVERSIDAD DE CIENCIAS Y ARTES DE CHIAPAS (UNICACH);20;8;5;5;5;5;4;;;;;2;3;5;5;5;5;5;2.0;4.0;4.0;2.0;3.0;3.0;3.0;2.0;;;2;2.0;2.0;5;2.875;4.8;;2.75;3.75;5.0
México;Ciencias Económicas y Administrativas;Turismo sustentable;Masculino;2025-10-20T17:55:20;UNIVERSIDAD DE CIENCIAS Y ARTES DE CHIAPAS (UNICACH);20;8;4;4;4;4;4;;;;;4;4;4;4;4;4;4;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4;4.0;4.0;4;4.0;4.0;;4.0;4.0;4.0
México;Otro;Licenciatura en Turismo Sustentable;Femenino;2025-10-20T18:06:40;UNIVERSIDAD DE CIENCIAS Y ARTES DE CHIAPAS (UNICACH);20;8;4;3;4;3;2;;;;;4;3;2;4;3;3;3;3.0;2.0;1.0;2.0;4.0;4.0;3.0;3.0;3.0;4.0;4;3.0;3.0;3;2.7777777777777777;3.2;;3.4;3.25;3.0
México;Ciencias Sociales y Humanidades;Formación de recursos humanos en empresa turísticas sustentables;Masculino;2025-10-20T18:13:59;Ubicación Sub Sede Palenque;20;8;3;1;3;2;3;;;;;1;1;1;1;2;3;3;2.0;2.0;2.0;3.0;2.0;2.0;2.0;2.0;2.0;2.0;2;2.0;2.0;2;2.111111111111111;2.4;;2.0;1.0;2.6666666666666665
México;Ciencias Económicas y Administrativas;Marketing digital;Femenino;2025-10-20T19:52:36;UNIVERSIDAD DE CIENCIAS Y ARTES DE CHIAPAS (UNICACH);34;8;5;5;3;3;4;;;;;4;4;4;5;5;3;2;2.0;2.0;2.0;2.0;3.0;3.0;4.0;4.0;4.0;4.0;4;4.0;4.0;4;2.888888888888889;4.0;;4.0;4.25;3.3333333333333335
México;Otro;Marketing digital;Masculino;2025-10-20T21:49:54;UNIVERSIDAD DE CIENCIAS Y ARTES DE CHIAPAS (UNICACH);49;8;3;4;3;3;4;3.0;3.0;3.0;;2;3;1;3;3;4;2;3.0;4.0;2.0;2.0;3.0;3.0;3.0;2.0;2.0;3.0;3;3.0;3.0;3;2.6666666666666665;3.4;3.0;3.0;2.25;3.0
México;Ciencias Sociales y Humanidades;Marketing Digital;Masculino;2025-10-20T21:55:30;UNIVERSIDAD DE CIENCIAS Y ARTES DE CHIAPAS (UNICACH);22;8;4;4;3;4;4;3.0;;;;3;4;4;4;5;2;4;3.0;3.0;2.0;3.0;4.0;4.0;4.0;;4.0;3.0;3;3.0;4.0;4;3.375;3.8;3.0;3.4;3.75;3.6666666666666665
México;Otro;Marketing Digital;Masculino;2025-10-20T22:01:51;UNIVERSIDAD DE CIENCIAS Y ARTES DE CHIAPAS (UNICACH);22;8;5;5;5;5;5;;;;;5;5;5;5;5;5;5;4.0;4.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;5.0;5;5.0;5.0;5;3.2222222222222223;5.0;;5.0;5.0;5.0
Colombia;Otro;Derecho;Masculino;2025-10-21T16:05:14;INSTITUCIÓN UNIVERSITARIA DE ENVIGADO (IUE);22;9;4;5;3;2;5;;;;;2;2;5;2;2;5;3;4.0;3.0;3.0;;;;;;3.0;5.0;5;5.0;5.0;5;3.25;3.8;;5.0;2.75;3.3333333333333335
Colombia;Ciencias Sociales y Humanidades;Ciencias jurídicas;Femenino;2025-10-21T16:08:28;INSTITUCIÓN UNIVERSITARIA DE ENVIGADO (IUE);26;9;3;3;3;2;3;;;3.0;;1;2;4;2;3;5;1;3.0;3.0;3.0;4.0;3.0;3.0;3.0;3.0;3.0;3.0;3;;;3;3.111111111111111;2.8;3.0;3.0;2.25;3.0
Colombia;Ciencias Sociales y Humanidades;DERECHO;Femenino;2025-10-21T16:08:50;INSTITUCIÓN UNIVERSITARIA DE ENVIGADO (IUE);43;9;4;4;3;3;5;;;;;4;4;4;4;4;3;3;4.0;4.0;3.0;3.0;4.0;4.0;4.0;4.0;4.0;4.0;4;4.0;3.0;5;3.7777777777777777;3.8;;4.0;4.0;3.3333333333333335
Colombia;Otro;Derecho;Femenino;2025-10-21T16:12:11;INSTITUCIÓN UNIVERSITARIA DE ENVIGADO (IUE);28;9;4;4;3;3;4;;;;;3;4;4;4;4;4;2;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;4.0;4;3.0;4.0;5;3.0;3.6;;4.0;3.75;3.3333333333333335
Colombia;Ciencias Sociales y Humanidades;Derecho;Masculino;2025-10-21T16:18:02;Institución Universitaria Envigado;45;9;4;4;3;3;4;;;;;4;5;5;5;5;5;3;3.0;3.0;3.0;2.0;4.0;3.0;4.0;3.0;4.0;4.0;5;4.0;5.0;5;3.2222222222222223;3.6;;4.6;4.75;4.333333333333333
Colombia;Otro;DERECHO;Femenino;2025-10-21T16:23:10;INSTITUCIÓN UNIVERSITARIA DE ENVIGADO (IUE);38;9;3;3;3;2;3;;3.0;;;3;3;3;3;3;3;3;3.0;2.0;1.0;2.0;2.0;2.0;4.0;4.0;3.0;3.0;3;3.0;3.0;5;2.5555555555555554;2.8;3.0;3.4;3.0;3.0
Colombia;Ciencias Sociales y Humanidades;Derecho;Femenino;2025-10-21T16:23:36;INSTITUCIÓN UNIVERSITARIA DE ENVIGADO (IUE);21;10;3;3;1;2;3;3.0;3.0;3.0;3.0;3;3;3;3;4;3;3;1.0;1.0;1.0;2.0;3.0;3.0;3.0;3.0;3.0;4.0;4;4.0;4.0;4;2.2222222222222223;2.4;3.0;4.0;3.0;3.3333333333333335
Colombia;Ciencias Sociales y Humanidades;Derecho;Femenino;2025-10-21T16:29:27;Instirucion Universitaria De Envigado;59;9;3;5;3;3;5;;;;;4;5;5;5;5;4;2;3.0;2.0;2.0;2.0;3.0;2.0;3.0;3.0;3.0;4.0;5;5.0;5.0;5;2.5555555555555554;3.8;;4.8;4.75;3.6666666666666665
Colombia;Ciencias Sociales y Humanidades;Derecho;Femenino;2025-10-21T16:37:39;INSTITUCIÓN UNIVERSITARIA DE ENVIGADO (IUE);21;9;2;3;1;1;5;;;;3.0;1;1;2;2;5;5;5;1.0;3.0;1.0;3.0;;;;;;3.0;5;5.0;5.0;5;2.0;2.4;3.0;4.6;1.5;5.0
Colombia;Otro;Derecho;Femenino;2025-10-21T16:47:04;INSTITUCIÓN UNIVERSITARIA DE ENVIGADO (IUE);30;9;4;5;4;3;5;;;;;4;5;5;5;5;5;5;3.0;3.0;3.0;4.0;3.0;3.0;4.0;3.0;3.0;3.0;3;4.0;4.0;5;3.2222222222222223;4.2;;3.8;4.75;5.0
Colombia;Ciencias Sociales y Humanidades;Derecho;Masculino;2025-10-21T17:13:29;INSTITUCIÓN UNIVERSITARIA DE ENVIGADO (IUE);22;8;3;2;1;3;3;;;;;3;3;3;3;3;4;2;2.0;1.0;1.0;3.0;4.0;3.0;4.0;3.0;3.0;;3;3.0;3.0;3;2.6666666666666665;2.4;;3.0;3.0;3.0
Colombia;Ciencias Sociales y Humanidades;Derecho;Masculino;2025-10-21T17:33:56;INSTITUCIÓN UNIVERSITARIA DE ENVIGADO (IUE);27;8;3;2;2;1;4;;;;;1;1;2;2;4;5;3;3.0;3.0;1.0;4.0;4.0;4.0;4.0;4.0;;4.0;5;4.0;4.0;5;3.375;2.4;;4.4;1.5;4.0
Colombia;Ciencias Sociales y Humanidades;Ciencias políticas y jurídicas;Femenino;2025-10-21T17:38:14;INSTITUCIÓN UNIVERSITARIA DE ENVIGADO (IUE);21;9;3;3;2;1;3;;;;;1;1;1;1;3;2;2;3.0;1.0;1.0;3.0;;4.0;;;3.0;4.0;5;5.0;5.0;5;2.5;2.4;;4.8;1.0;2.3333333333333335
Colombia;Ciencias Sociales y Humanidades;Derecho;Femenino;2025-10-21T17:42:11;INSTITUCIÓN UNIVERSITARIA DE ENVIGADO (IUE);23;9;2;2;1;2;2;3.0;3.0;;;1;1;1;1;4;4;3;3.0;1.0;1.0;3.0;4.0;4.0;4.0;2.0;4.0;4.0;4;4.0;4.0;4;2.888888888888889;1.8;3.0;4.0;1.0;3.6666666666666665
México;Ciencias Económicas y Administrativas;Turismo sustentable;Femenino;2025-10-21T17:42:49;UNIVERSIDAD DE CIENCIAS Y ARTES DE CHIAPAS (UNICACH);20;8;2;1;2;1;1;;;;;2;1;1;1;1;1;1;3.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2;2.0;2.0;2;2.111111111111111;1.4;;2.0;1.25;1.0
México;Ciencias Económicas y Administrativas;Licenciatura en Turismo sustentable;Femenino;2025-10-21T17:44:45;UNIVERSIDAD DE CIENCIAS Y ARTES DE CHIAPAS (UNICACH);20;8;4;3;3;5;4;3.0;3.0;3.0;;3;4;3;1;3;3;3;2.0;3.0;3.0;3.0;2.0;3.0;2.0;3.0;3.0;4.0;3;3.0;3.0;3;2.6666666666666665;3.8;3.0;3.2;2.75;3.0
México;Ciencias Económicas y Administrativas;Turismo sustentable;Masculino;2025-10-21T17:45:13;UNIVERSIDAD DE CIENCIAS Y ARTES DE CHIAPAS (UNICACH);20;8;3;1;1;1;3;;3.0;;;1;1;1;1;4;4;1;1.0;1.0;1.0;2.0;2.0;2.0;3.0;3.0;2.0;4.0;4;4.0;4.0;4;1.8888888888888888;1.8;3.0;4.0;1.0;3.0
México;Ciencias Económicas y Administrativas;Licenciatura en Turismo Sustentable;Masculino;2025-10-21T17:45:14;UNIVERSIDAD DE CIENCIAS Y ARTES DE CHIAPAS (UNICACH);21;8;4;1;1;2;3;3.0;;3.0;3.0;2;2;1;1;2;1;5;3.0;3.0;3.0;4.0;3.0;3.0;3.0;2.0;4.0;3.0;3;3.0;3.0;3;3.111111111111111;2.2;3.0;3.0;1.5;2.6666666666666665
México;Ciencias Económicas y Administrativas;Turismo sustentable;Femenino;2025-10-21T17:45:16;UNIVERSIDAD DE CIENCIAS Y ARTES DE CHIAPAS (UNICACH);20;8;3;3;3;3;3;3.0;3.0;;3.0;3;4;2;1;4;3;4;2.0;1.0;1.0;4.0;2.0;2.0;2.0;2.0;2.0;4.0;4;3.0;3.0;4;2.0;3.0;3.0;3.6;2.5;3.6666666666666665
México;Ciencias Económicas y Administrativas;Turismo Sustentable;Femenino;2025-10-21T17:45:33;UNIVERSIDAD DE CIENCIAS Y ARTES DE CHIAPAS (UNICACH);19;8;3;3;4;3;4;3.0;3.0;3.0;;4;3;2;3;3;3;3;3.0;1.0;2.0;2.0;3.0;3.0;3.0;4.0;4.0;3.0;3;3.0;3.0;4;2.7777777777777777;3.4;3.0;3.2;3.0;3.0
México;Ciencias Económicas y Administrativas;Turismo sustentable;Femenino;2025-10-21T17:45:51;UNIVERSIDAD DE CIENCIAS Y ARTES DE CHIAPAS (UNICACH);20;8;4;3;3;3;5;3.0;;;;5;5;1;3;3;5;3;3.0;2.0;2.0;3.0;3.0;2.0;4.0;3.0;4.0;5.0;5;4.0;5.0;5;2.888888888888889;3.6;3.0;4.8;3.5;3.6666666666666665
México;Ciencias Económicas y Administrativas;Turismo sustentable;Masculino;2025-10-21T17:46:05;UNIVERSIDAD DE CIENCIAS Y ARTES DE CHIAPAS (UNICACH);20;8;4;4;4;4;4;;3.0;3.0;3.0;4;4;4;4;4;4;4;3.0;4.0;4.0;4.0;3.0;3.0;3.0;4.0;3.0;4.0;4;4.0;3.0;3;3.4444444444444446;4.0;3.0;3.6;4.0;4.0
México;Ciencias Económicas y Administrativas;Turismo sustentable;Femenino;2025-10-21T17:46:08;UNIVERSIDAD DE CIENCIAS Y ARTES DE CHIAPAS (UNICACH);20;8;4;4;4;3;4;;;;;3;4;3;3;3;3;4;3.0;3.0;3.0;3.0;4.0;3.0;3.0;3.0;3.0;4.0;4;4.0;4.0;4;3.111111111111111;3.8;;4.0;3.25;3.3333333333333335
