PERFIL;¿En qué universidad estudias actualmente?;¿En qué país estás cursando tus estudios?;¿A qué área principal pertenece tu carrera?;Por favor, escribe el nombre de tu carrera o programa de estudios.;¿Qué semestre estás cursando actualmente?;¿Cuál es tu edad?;¿Con qué género te identificas?;COMPETENCIAS_IA;Análisis e interpretación de datos.;Fundamentos de ciberseguridad.;Conceptos básicos de programación y automatización.;Manejo de herramientas de IA (ej. ChatGPT, Copilot, Gemini, DALL-E);Pensamiento crítico y resolución de problemas complejos;Comunicación efectiva en entornos digitales;Adaptabilidad y aprendizaje continuo;Creatividad e innovación;Colaboración en equipos multidisciplinarios;PERTINENCIA_LABORAL;El currículo de mi carrera está alineado con las habilidades demandadas por el mercado laboral digital.;Mi universidad promueve activamente el desarrollo de competencias digitales y blandas.;Siento que la formación que he recibido me prepara para trabajos que aún no existen.;El uso de la tecnología y la IA está bien integrado en las asignaturas de mi carrera.;La metodología de enseñanza en mi carrera fomenta la adaptabilidad y el aprendizaje continuo.;CONFIANZA_LABORAL;Me siento seguro(a) de que mi formación académica me prepara para conseguir un empleo relevante en mi área.;Mi perfil de egreso es competitivo en el mercado laboral actual.;Considero que mis habilidades blandas (ej. comunicación, creatividad) me dan una ventaja en el mercado laboral.;Creo que mi conocimiento sobre herramientas de IA mejorará mis oportunidades laborales.;Habilidades técnicas y digitales (ej. programación, análisis de datos);Habilidades blandas (ej. pensamiento crítico, adaptabilidad);Experiencia práctica o pasantías;Red de contactos (networking);Título académico de la universidad;EVALUACION_DOCENTE;El profesorado de mi carrera está capacitado para integrar herramientas de IA en la enseñanza.;Mi universidad fomenta la innovación en las metodologías de enseñanza para adaptarse a la era digital.;Mi universidad tiene los recursos adecuados (plataformas, software) para formar profesionales en la era digital.;En general, recomendaría mi universidad como una institución que prepara para los desafíos del mercado laboral digital.;El rol principal del profesorado será el de facilitador y guía del aprendizaje.;El profesorado deberá enfocarse más en enseñar habilidades humanas (pensamiento crítico, ética, creatividad) que en transmitir información.;El rol del profesorado se reducirá significativamente, siendo reemplazado en gran medida por la IA.;_id;_uuid;_submission_time;_validation_status;_notes;_status;_submitted_by;__version__;_tags;_index
;Institución Universitaria de Envigado;Colombia;Ciencias Sociales y Humanidades;Derecho;8vo Semestre;20;Masculino;;Avanzado;Intermedio;Intermedio;Avanzado;Experto;Avanzado;Experto;Avanzado;Experto;;De acuerdo;Neutral;En desacuerdo;En desacuerdo;De acuerdo;;Muy importante;Importante;Muy importante;Muy importante;Importante;Muy importante;Muy importante;Importante;Importante;;En desacuerdo;En desacuerdo;Neutral;Neutral;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente en desacuerdo;583428678;059eb734-a42e-4183-913e-2d884e240e07;2025-10-16T00:34:19;;;submitted_via_web;;vchSVdvwvhUFz65soQA9rv;;11
;UNIVERSIDAD DE ENVIGADO;Colombia;Otro;Derecho;8vo Semestre;30;Femenino;;Básico;Ninguno;Ninguno;Básico;Básico;Básico;Básico;Intermedio;Básico;;Neutral;De acuerdo;Neutral;Neutral;De acuerdo;;Neutral;Neutral;Neutral;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;;De acuerdo;De acuerdo;De acuerdo;Neutral;De acuerdo;Neutral;En desacuerdo;583431516;9ecc776c-127b-4a54-97f6-99dc206a3976;2025-10-16T00:42:33;;;submitted_via_web;;vchSVdvwvhUFz65soQA9rv;;12
;INSTITUCIÓN UNIVERSITARIA DE ENVIGADO;Colombia;Ciencias Sociales y Humanidades;DERECHO;10mo Semestre o superior;22;Femenino;;Intermedio;Intermedio;Básico;Básico;Avanzado;Avanzado;Avanzado;Avanzado;Avanzado;;De acuerdo;Totalmente de acuerdo;Neutral;Neutral;Totalmente de acuerdo;;Importante;Neutral;Importante;Neutral;Neutral;Importante;Neutral;Poca importancia;Importante;;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Neutral;Totalmente en desacuerdo;583435489;45e04572-6517-42e7-a0fc-5cfcfcba3f62;2025-10-16T00:54:12;;;submitted_via_web;;vchSVdvwvhUFz65soQA9rv;;13
;Institución Universitaria de Envigado;Colombia;Otro;Derecho;8vo Semestre;35;Femenino;;Básico;Básico;Ninguno;Avanzado;Intermedio;Básico;Intermedio;Básico;Básico;;Totalmente de acuerdo;Neutral;Neutral;En desacuerdo;Neutral;;Importante;Importante;Neutral;Muy importante;Poca importancia;Neutral;Neutral;Neutral;Neutral;;En desacuerdo;Neutral;Neutral;Neutral;Totalmente de acuerdo;De acuerdo;Totalmente en desacuerdo;583460152;b54a778e-baf4-4fd1-b148-4a3eb555470f;2025-10-16T02:20:49;;;submitted_via_web;;vchSVdvwvhUFz65soQA9rv;;14
;Institución Universitaria de Envigado;Colombia;Ciencias Sociales y Humanidades;Derecho;8vo Semestre;48;Masculino;;Intermedio;Ninguno;Ninguno;Básico;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;;Poca importancia;Neutral;Importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;;Totalmente en desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;De acuerdo;De acuerdo;Totalmente en desacuerdo;583466388;b0873fd2-dd47-45d8-a563-ed72c2d6c309;2025-10-16T02:42:16;;;submitted_via_web;;vchSVdvwvhUFz65soQA9rv;;15
;Institución Universitaria De Envigado;Colombia;Otro;Derecho;10mo Semestre o superior;44;Masculino;;Intermedio;Básico;Intermedio;Intermedio;Avanzado;Intermedio;Avanzado;Avanzado;Avanzado;;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;583504685;bea7abd6-dab7-4bdd-a7c3-daba62d757b9;2025-10-16T04:36:53;;;submitted_via_web;;vchSVdvwvhUFz65soQA9rv;;16
;UNICACH;México;Otro;Lic. Marketing Digital;8vo Semestre;18;Femenino;;Avanzado;Avanzado;Intermedio;Básico;Avanzado;Avanzado;Avanzado;Experto;Experto;;De acuerdo;De acuerdo;Totalmente en desacuerdo;Totalmente de acuerdo;Totalmente de acuerdo;;Muy importante;Importante;Muy importante;Muy importante;Importante;Importante;Importante;Importante;Muy importante;;De acuerdo;De acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;De acuerdo;586635470;ef6d4198-b7ce-49cf-8452-e1b051ff3106;2025-10-20T14:43:47;;;submitted_via_web;;vchSVdvwvhUFz65soQA9rv;;17
;UNICACH;México;Otro;Marketing Digital;8vo Semestre;19;Masculino;;Ninguno;Básico;Básico;Básico;Ninguno;Básico;Básico;Básico;Básico;;De acuerdo;De acuerdo;Neutral;Neutral;Neutral;;Poca importancia;Neutral;Importante;Neutral;Poca importancia;Poca importancia;Poca importancia;Poca importancia;Importante;;De acuerdo;De acuerdo;Neutral;Neutral;Totalmente de acuerdo;Totalmente de acuerdo;En desacuerdo;586660562;cb3ccff4-1d0c-4e7e-b67c-eac0c9908ce3;2025-10-20T15:08:25;;;submitted_via_web;;vchSVdvwvhUFz65soQA9rv;;18
;UNICACH;México;Ciencias Sociales y Humanidades;Marketing Digital;8vo Semestre;26;Masculino;;Avanzado;Intermedio;Básico;Intermedio;Intermedio;Intermedio;Avanzado;Intermedio;Intermedio;;Totalmente de acuerdo;De acuerdo;Neutral;Neutral;De acuerdo;;Muy importante;Neutral;Importante;Importante;Neutral;Neutral;Neutral;Importante;Neutral;;Neutral;Neutral;Neutral;De acuerdo;De acuerdo;Neutral;En desacuerdo;586661927;5aceac16-7df7-429f-be53-6494fc6df70d;2025-10-20T15:09:35;;;submitted_via_web;;vchSVdvwvhUFz65soQA9rv;;19
;UNICACH;México;Otro;Lic. Marketing Digital;8vo Semestre;23;Femenino;;Avanzado;Intermedio;Básico;Intermedio;Intermedio;Intermedio;Avanzado;Avanzado;Intermedio;;Totalmente de acuerdo;De acuerdo;De acuerdo;De acuerdo;Totalmente de acuerdo;;Importante;Neutral;Importante;Importante;Importante;Importante;Neutral;Neutral;Neutral;;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;De acuerdo;De acuerdo;Neutral;586662140;42bee1e4-97cc-4149-80f2-a636e64e65dd;2025-10-20T15:09:51;;;submitted_via_web;;vchSVdvwvhUFz65soQA9rv;;20
;Unicach;México;Otro;Marketing digital;8vo Semestre;26;Femenino;;Avanzado;Intermedio;Intermedio;Intermedio;Avanzado;Avanzado;Avanzado;Avanzado;Avanzado;;De acuerdo;De acuerdo;Neutral;De acuerdo;De acuerdo;;Importante;Importante;Importante;Importante;Muy importante;Muy importante;Importante;Muy importante;Muy importante;;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;586665624;8308b4fa-16e8-4fea-be16-b3e6448c5266;2025-10-20T15:13:46;;;submitted_via_web;;vchSVdvwvhUFz65soQA9rv;;21
;Unicach;México;Otro;Licenciatura de Marketing Digital;8vo Semestre;20;Femenino;;Intermedio;Avanzado;Experto;Avanzado;Avanzado;Avanzado;Experto;Experto;Avanzado;;Totalmente de acuerdo;Totalmente de acuerdo;Neutral;De acuerdo;De acuerdo;;Importante;Neutral;Importante;Importante;Muy importante;Importante;Importante;Importante;Neutral;;De acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;De acuerdo;Totalmente de acuerdo;De acuerdo;En desacuerdo;586674586;1c833327-72f4-4a6f-9cea-23851fd39470;2025-10-20T15:23:10;;;submitted_via_web;;vchSVdvwvhUFz65soQA9rv;;22
;Universidad de ciencias y artes de Chiapas;México;Ciencias Sociales y Humanidades;Marketing digital;8vo Semestre;22;Femenino;;Intermedio;Intermedio;Intermedio;Intermedio;Básico;Intermedio;Intermedio;Intermedio;Intermedio;;Neutral;De acuerdo;En desacuerdo;Neutral;Neutral;;Importante;Neutral;Neutral;Importante;Neutral;Neutral;Neutral;Neutral;Neutral;;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;586684319;17c77d62-89c2-4a1a-b349-ae8ced3f0209;2025-10-20T15:34:14;;;submitted_via_web;;vchSVdvwvhUFz65soQA9rv;;23
;Institución universitaria de envigado;Colombia;Ciencias Sociales y Humanidades;Derecho;8vo Semestre;28;Masculino;;Básico;Básico;Ninguno;Básico;Intermedio;Intermedio;Avanzado;Intermedio;Intermedio;;Neutral;Neutral;Neutral;En desacuerdo;Neutral;;Neutral;Neutral;Importante;Neutral;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;;En desacuerdo;De acuerdo;Totalmente de acuerdo;Neutral;Totalmente de acuerdo;Totalmente de acuerdo;En desacuerdo;586689621;4906fe70-7b91-474b-bc4c-c605c113280d;2025-10-20T15:41:02;;;submitted_via_web;;vchSVdvwvhUFz65soQA9rv;;24
;Unicach;México;Otro;Marketing digital;8vo Semestre;31;Masculino;;Intermedio;Ninguno;Ninguno;Intermedio;Ninguno;Básico;Básico;Básico;Ninguno;;Totalmente de acuerdo;Totalmente de acuerdo;Neutral;Totalmente de acuerdo;Totalmente de acuerdo;;Muy importante;Muy importante;Muy importante;Muy importante;Neutral;Neutral;Poca importancia;Sin importancia;Muy importante;;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;En desacuerdo;En desacuerdo;586693360;097db866-6a93-4086-af54-5c05271acad6;2025-10-20T15:45:13;;;submitted_via_web;;vchSVdvwvhUFz65soQA9rv;;25
;Universidad de Ciencias y Artes de Chiapas (UNICACH);México;Otro;Licenciatura en Marketing Digital;8vo Semestre;17;Femenino;;Básico;Ninguno;Básico;Básico;Básico;Intermedio;Intermedio;Intermedio;Básico;;Totalmente de acuerdo;Totalmente de acuerdo;En desacuerdo;De acuerdo;Totalmente de acuerdo;;Muy importante;Importante;Importante;Neutral;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Neutral;586696711;29379d49-b3df-482f-89f1-21c46c7a5582;2025-10-20T15:48:45;;;submitted_via_web;;vchSVdvwvhUFz65soQA9rv;;26
;Universidad de ciencias y artes de Chiapas;México;Ciencias Económicas y Administrativas;Marketing digital;8vo Semestre;24;Femenino;;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Avanzado;Avanzado;Avanzado;Avanzado;;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Importante;;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Neutral;586697615;bf09a43e-8f05-425e-8575-0ca03a621231;2025-10-20T15:49:47;;;submitted_via_web;;vchSVdvwvhUFz65soQA9rv;;27
;UNICACH;México;Ciencias Sociales y Humanidades;Lic. Marketing Digital;8vo Semestre;23;Femenino;;Básico;Básico;Ninguno;Básico;Básico;Intermedio;Intermedio;Intermedio;Básico;;Totalmente de acuerdo;De acuerdo;Neutral;Neutral;De acuerdo;;Neutral;Poca importancia;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;;De acuerdo;Totalmente de acuerdo;De acuerdo;Neutral;Neutral;Neutral;Totalmente en desacuerdo;586713812;3ab66824-5101-417e-93eb-d9e87e331268;2025-10-20T16:07:35;;;submitted_via_web;;vchSVdvwvhUFz65soQA9rv;;28
;Universidad de ciencias y artes de chiapas;México;Artes y Diseño;Marketing digital;8vo Semestre;21;Masculino;;Intermedio;Básico;Intermedio;Avanzado;Avanzado;Avanzado;Avanzado;Avanzado;Experto;;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;;Muy importante;Muy importante;Muy importante;Muy importante;Importante;Importante;Muy importante;Muy importante;Muy importante;;De acuerdo;Neutral;De acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Neutral;De acuerdo;586765133;de79f9ee-ebb8-42ad-b7d7-ca8e507259ed;2025-10-20T17:14:11;;;submitted_via_web;;vchSVdvwvhUFz65soQA9rv;;29
;Universidad de Ciencias y Artes de Chiapas;México;Ciencias Económicas y Administrativas;Turismo Sustentable;8vo Semestre;20;Femenino;;Básico;Básico;Básico;Intermedio;Intermedio;Básico;Intermedio;Intermedio;Intermedio;;Neutral;Neutral;De acuerdo;Neutral;Neutral;;Muy importante;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Muy importante;;De acuerdo;Neutral;Neutral;Neutral;De acuerdo;Totalmente de acuerdo;Neutral;586765448;90a11b68-3b64-488c-bd35-96d64a9327b1;2025-10-20T17:14:37;;;submitted_via_web;;vchSVdvwvhUFz65soQA9rv;;30
;Unicach;México;Otro;Turismo sustentable;8vo Semestre;22;Masculino;;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;;Neutral;Neutral;Neutral;Neutral;Neutral;;Importante;Importante;Importante;Neutral;Importante;Importante;Importante;Importante;Importante;;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;586769735;05c55056-42e7-4b61-8fe0-5ce65a7adfb6;2025-10-20T17:20:49;;;submitted_via_web;;vchSVdvwvhUFz65soQA9rv;;31
;Unicach;México;Otro;Turismo Sustentable;8vo Semestre;19;Femenino;;Intermedio;Ninguno;Básico;Básico;Intermedio;Básico;Básico;Intermedio;Intermedio;;En desacuerdo;En desacuerdo;Neutral;De acuerdo;De acuerdo;;Muy importante;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Importante;;Neutral;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;Neutral;586770191;fd65acfa-112e-471b-a1d8-2843b713aa1d;2025-10-20T17:21:26;;;submitted_via_web;;vchSVdvwvhUFz65soQA9rv;;32
;Universidad de ciencias y Artes de Chiapas;México;Ciencias Económicas y Administrativas;Turismo sustentable;8vo Semestre;21;Femenino;;Ninguno;Ninguno;Básico;Básico;Básico;Básico;Ninguno;Básico;Básico;;Neutral;Neutral;De acuerdo;Neutral;De acuerdo;;Importante;Importante;Importante;Muy importante;Importante;Importante;Importante;Neutral;Importante;;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;586771409;9ab1786f-d72e-458d-abde-328babe5d08c;2025-10-20T17:23:07;;;submitted_via_web;;vchSVdvwvhUFz65soQA9rv;;33
;Universidad de ciencias y artes de Chiapas;México;Ciencias Económicas y Administrativas;Licenciatura turismo sustentable;8vo Semestre;20;Femenino;;Básico;Básico;Básico;Básico;Básico;Básico;Intermedio;Básico;Básico;;Neutral;De acuerdo;Neutral;Totalmente en desacuerdo;Neutral;;Neutral;Neutral;Neutral;Sin importancia;Neutral;Neutral;Neutral;Neutral;Neutral;;Neutral;De acuerdo;Neutral;Neutral;Neutral;Neutral;En desacuerdo;586780449;c61ff0e9-061f-4139-96a4-f723bf6bbbde;2025-10-20T17:38:36;;;submitted_via_web;;vchSVdvwvhUFz65soQA9rv;;34
;Unicach;México;Ciencias Económicas y Administrativas;Turismo sustentable;8vo Semestre;20;Masculino;;Básico;Básico;Ninguno;Básico;Básico;Ninguno;Básico;Básico;Básico;;De acuerdo;En desacuerdo;Neutral;En desacuerdo;Neutral;;Neutral;Neutral;Importante;Neutral;Poca importancia;Poca importancia;Poca importancia;Neutral;Poca importancia;;En desacuerdo;En desacuerdo;Neutral;Neutral;En desacuerdo;De acuerdo;En desacuerdo;586783400;cec3b32b-4578-447b-91e2-4f5ce2866923;2025-10-20T17:43:09;;;submitted_via_web;;vchSVdvwvhUFz65soQA9rv;;35
;UNICACH;México;Otro;Turismo Sustentable;8vo Semestre;20;Masculino;;Básico;Avanzado;Avanzado;Básico;Intermedio;Intermedio;Intermedio;Básico;Experto;;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;De acuerdo;;Muy importante;Muy importante;Importante;Importante;Sin importancia;Poca importancia;Poca importancia;Poca importancia;Muy importante;;En desacuerdo;Neutral;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;586784021;dedff2a7-0080-4af9-9c5b-cdba4dc8ea87;2025-10-20T17:43:59;;;submitted_via_web;;vchSVdvwvhUFz65soQA9rv;;36
